H2Oice	G0230
scanned warm and tilted by ~5 deg	
Wavelength (nm)	%T
2001	0.007879
2000	0.0094271
1999	0.0080884
1998	0.0046361
1997	0.0085467
1996	0.0080038
1995	0.0056394
1994	0.0066278
1993	0.0071214
1992	0.0036715
1991	0.0058846
1990	0.0034342
1989	0.0051012
1988	0.0060463
1987	0.0096153
1986	0.0061708
1985	0.0016728
1984	0.0061202
1983	0.0057022
1982	0.0068885
1981	0.010054
1980	0.0021319
1979	0.0034145
1978	0.011183
1977	0.0086683
1976	0.0075415
1975	0.0082055
1974	0.007036
1973	0.0017796
1972	0.0021185
1971	0.0030218
1970	0.0053538
1969	0.005231
1968	0.0079579
1967	0.0058265
1966	0.0090309
1965	0.0077368
1964	0.0051302
1963	0.011018
1962	0.0079061
1961	0.00097483
1960	0.0018091
1959	0.0080457
1958	0.009685
1957	0.0017822
1956	0.0077038
1955	0.0073158
1954	0.0018667
1953	0.006934
1952	0.002226
1951	0.0073379
1950	0.0095989
1949	0.0065948
1948	0.0061459
1947	0.0042986
1946	0.0064495
1945	0.0093617
1944	0.0051492
1943	0.0073332
1942	0.0091365
1941	0.005244
1940	-0.0016623
1939	0.0054816
1938	0.0041282
1937	0.0018169
1936	0.0074298
1935	0.0047793
1934	0.0051543
1933	0.0029443
1932	0.0010843
1931	0.0063466
1930	0.0073073
1929	0.0049296
1928	0.0072079
1927	0.0040343
1926	0.0041766
1925	0.0061364
1924	0.0025722
1923	0.0029381
1922	0.0018206
1921	0.0032864
1920	0.003115
1919	0.010305
1918	-0.0024435
1917	0.0076468
1916	0.012033
1915	-0.00018947
1914	0.0042493
1913	0.0058175
1912	0.0061934
1911	0.011202
1910	0.0075539
1909	0.0071471
1908	-0.00093989
1907	0.0065759
1906	0.007897
1905	0.012156
1904	0.0011022
1903	0.01149
1902	0.0050752
1901	0.0034441
1900	0.0095474
1899	0.0083905
1898	0.0084965
1897	0.0072592
1896	0.0053112
1895	0.0042284
1894	0.0052189
1893	0.0028457
1892	0.0027072
1891	0.0077771
1890	0.011978
1889	0.0060275
1888	0.0054204
1887	0.004477
1886	0.0029875
1885	0.0040503
1884	0.0092091
1883	0.010696
1882	0.0074872
1881	0.0071892
1880	0.0022165
1879	0.0029178
1878	0.0049688
1877	0.0085358
1876	0.0064729
1875	0.0088475
1874	0.003742
1873	0.0041555
1872	0.003716
1871	0.0077987
1870	0.0057322
1869	0.0076048
1868	0.0048685
1867	0.0074907
1866	0.0072895
1865	0.007176
1864	0.010042
1863	0.00538
1862	0.0049592
1861	0.0042157
1860	0.0089041
1859	0.005007
1858	0.0037574
1857	0.0091704
1856	0.0080229
1855	0.012457
1854	0.012248
1853	-0.0032209
1852	0.0044116
1851	0.0061567
1850	0.0033147
1849	0.0097775
1848	0.005175
1847	0.010937
1846	0.0044623
1845	0.0025793
1844	0.0079879
1843	0.011058
1842	0.0063594
1841	0.0070114
1840	0.0092086
1839	0.0084665
1838	0.0030064
1837	0.0073951
1836	0.011604
1835	0.0028933
1834	0.014004
1833	0.0081338
1832	0.006694
1831	0.0057099
1830	0.0093929
1829	0.0061255
1828	0.0078795
1827	0.0029055
1826	0.0045567
1825	0.010427
1824	0.0087298
1823	0.0038594
1822	0.0086814
1821	0.0085709
1820	0.012172
1819	0.0073659
1818	0.0034425
1817	0.013424
1816	0.0058357
1815	0.002135
1814	0.0085408
1813	0.0057808
1812	0.0089845
1811	0.0062011
1810	0.0049591
1809	0.0065797
1808	0.0066146
1807	0.0064875
1806	0.013742
1805	0.0042453
1804	0.0019267
1803	0.0081879
1802	0.00098813
1801	0.0054601
1800	0.0076989
1799	0.0030581
1798	0.0044055
1797	0.0054137
1796	0.0061007
1795	0.0064708
1794	0.0016825
1793	0.0061288
1792	0.010702
1791	0.0094599
1790	0.0039776
1789	0.0060925
1788	0.0083984
1787	0.0097685
1786	0.00021545
1785	-0.00072532
1784	0.0083658
1783	0.0022568
1782	0.0097225
1781	0.009239
1780	0.0054744
1779	0.0024351
1778	0.009617
1777	0.0079739
1776	0.0063054
1775	0.004924
1774	0.0051533
1773	0.0080926
1772	0.0098047
1771	0.0074433
1770	0.00184
1769	0.0077368
1768	0.0026637
1767	0.0054464
1766	0.0045915
1765	0.011544
1764	0.0091936
1763	0.0072617
1762	0.0073521
1761	0.0092922
1760	0.0033349
1759	0.0020172
1758	0.0078232
1757	0.0098667
1756	0.010245
1755	0.0048147
1754	0.007618
1753	0.0054087
1752	0.0058069
1751	0.0054167
1750	0.0053839
1749	0.0053654
1748	0.012535
1747	0.0084142
1746	0.0088885
1745	0.0018649
1744	0.0078155
1743	0.0049091
1742	0.0085763
1741	0.0060115
1740	0.0087766
1739	0.00066321
1738	0.0090041
1737	0.0051671
1736	0.004268
1735	0.011123
1734	0.0073196
1733	0.0013455
1732	0.0090467
1731	0.0018088
1730	0.0070507
1729	0.0037798
1728	0.0097888
1727	0.0074064
1726	0.0066023
1725	0.011431
1724	0.00025087
1723	0.0084453
1722	0.0045454
1721	0.0090318
1720	0.010405
1719	0.013023
1718	0.0030366
1717	0.0080242
1716	0.0015999
1715	0.0084548
1714	0.0032938
1713	0.0083657
1712	0.0078212
1711	0.0057233
1710	0.0038444
1709	-0.00090403
1708	0.01014
1707	0.00085361
1706	-0.00063866
1705	0.0016292
1704	0.0090437
1703	0.0038313
1702	0.0085494
1701	0.0076718
1700	0.0042067
1699	0.006298
1698	0.00012856
1697	0.0026037
1696	0.0048996
1695	0.001661
1694	0.0080031
1693	0.00097703
1692	0.0027226
1691	0.0046512
1690	0.0056943
1689	0.006994
1688	0.0079407
1687	0.010314
1686	0.0028446
1685	0.0086827
1684	0.011322
1683	0.0032974
1682	0.011176
1681	0.010476
1680	0.012261
1679	0.007324
1678	0.0022097
1677	0.01342
1676	0.007398
1675	0.0033504
1674	0.0064565
1673	0.010393
1672	0.0085757
1671	0.005244
1670	0.0039941
1669	0.009239
1668	0.0059277
1667	0.0087997
1666	0.0076541
1665	0.011174
1664	0.0098676
1663	0.0070944
1662	0.0020939
1661	0.0061955
1660	0.0077473
1659	0.0085458
1658	0.010565
1657	0.0066631
1656	0.010072
1655	0.007037
1654	0.011674
1653	0.001063
1652	0.0037915
1651	0.0026222
1650	0.0090769
1649	0.0056714
1648	0.010806
1647	0.0023663
1646	0.0055031
1645	0.013352
1644	0.0031241
1643	0.0096575
1642	0.010283
1641	0.0046635
1640	0.0029875
1639	0.0054125
